EMMReg,Year,Summer-MaxHr,Summer-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Summer-TakeStartHr3,Summer-TakeEndHr3,Winter-MaxHr,Winter-MinHr,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Winter-TakeStartHr3,Winter-TakeEndHr3,Inter-MaxHr,Inter-MinHr,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2,Inter-TakeStartHr3,Inter-TakeEndHr3
16,2025,16,4,15,18,1,7,24,24,,,20,3,19,22,1,6,9,17,22,24,20,4,19,22,1,7,23,24,,
17,2025,16,5,15,18,1,7,,,,,21,4,20,23,1,18,23,24,,,15,4,14,17,1,8,24,24,,
18,2025,16,4,15,18,1,6,,,,,20,4,19,22,1,6,23,24,,,15,3,14,17,1,6,24,24,,
19,2025,17,4,16,19,1,6,,,,,19,4,18,21,1,6,23,24,,,12,4,11,14,1,7,24,24,,
20,2025,16,5,15,18,1,7,,,,,20,4,19,22,1,18,22,24,,,16,4,15,18,1,9,23,24,,
21,2025,16,4,15,18,1,6,24,24,,,19,4,18,21,1,7,24,24,,,13,4,12,15,1,7,23,24,,
22,2025,16,4,15,18,1,6,24,24,,,19,4,18,21,1,7,24,24,,,13,4,12,15,1,7,23,24,,
23,2025,16,3,15,18,1,6,24,24,,,19,3,18,21,1,5,24,24,,,18,3,17,20,1,5,23,24,,
24,2025,17,4,16,19,1,6,24,24,,,19,4,18,21,1,6,24,24,,,20,3,19,22,1,6,23,24,,
25,2025,16,3,15,18,1,6,24,24,,,19,3,18,21,1,6,23,24,,,11,3,10,13,1,6,22,24,,
1,2030,16,6,15,18,2,7,,,,,21,5,20,23,1,19,24,24,,,15,5,14,17,1,8,,,,
2,2030,16,5,15,18,1,7,,,,,20,4,19,22,1,7,24,24,,,16,5,15,18,1,7,,,,
3,2030,15,4,14,17,1,6,24,24,,,19,4,18,21,1,7,24,24,,,12,4,11,14,1,6,24,24,,
4,2030,15,4,14,17,1,6,24,24,,,19,4,18,21,1,7,13,16,22,24,11,3,10,13,1,7,22,24,,
5,2030,15,3,14,17,1,6,24,24,,,20,4,19,22,1,7,24,24,,,11,3,10,13,1,6,23,24,,
6,2030,16,5,15,18,1,8,,,,,20,4,19,22,1,10,13,18,23,24,15,5,14,17,1,9,24,24,,
7,2030,18,5,17,20,1,7,,,,,19,4,18,21,1,6,24,24,,,18,4,17,20,1,7,24,24,,
8,2030,14,5,13,16,1,7,,,,,18,5,17,20,1,7,,,,,13,5,12,15,1,7,,,,
9,2030,14,4,13,16,1,7,,,,,19,5,18,21,1,7,24,24,,,12,5,11,14,1,7,24,24,,
10,2030,16,5,15,18,1,7,,,,,19,4,18,21,1,7,24,24,,,12,5,11,14,1,7,24,24,,
11,2030,16,4,15,18,1,7,24,24,,,20,4,19,22,1,7,23,24,,,12,4,11,14,1,7,23,24,,
12,2030,16,5,15,18,1,7,,,,,20,5,19,22,1,8,,,,,14,5,13,16,1,8,,,,
13,2030,16,4,15,18,1,7,,,,,19,3,18,21,1,6,14,16,23,24,18,4,17,20,1,7,24,24,,
14,2030,16,4,15,18,1,7,,,,,20,3,19,22,1,6,12,17,23,24,15,4,14,17,1,7,23,24,,
15,2030,15,4,14,17,1,7,24,24,,,19,3,18,21,1,6,9,17,22,24,15,3,14,17,1,7,23,24,,
16,2030,16,4,15,18,1,7,24,24,,,20,3,19,22,1,17,22,24,,,18,4,17,20,1,8,23,24,,
17,2030,16,5,15,18,1,7,,,,,20,4,19,22,1,9,12,18,23,24,15,4,14,17,1,8,23,24,,
18,2030,16,4,15,18,1,6,,,,,19,4,18,21,1,6,23,24,,,14,3,13,16,1,6,23,24,,
19,2030,17,5,16,19,1,7,,,,,19,4,18,21,1,7,23,24,,,12,4,11,14,1,7,24,24,,
20,2030,16,5,15,18,1,7,,,,,20,4,19,22,1,18,22,24,,,16,4,15,18,1,9,23,24,,
21,2030,16,4,15,18,1,6,24,24,,,19,5,18,21,1,7,24,24,,,13,4,12,15,1,7,23,24,,
22,2030,16,4,15,18,1,6,24,24,,,19,5,18,21,1,7,24,24,,,13,4,12,15,1,7,23,24,,
23,2030,16,3,15,18,1,6,23,24,,,18,3,17,20,1,6,23,24,,,18,3,17,20,1,5,23,24,,
24,2030,17,4,16,19,1,7,24,24,,,19,4,18,21,1,7,23,24,,,18,3,17,20,1,7,23,24,,
25,2030,16,4,15,18,1,6,24,24,,,19,3,18,21,1,6,14,16,22,24,11,3,10,13,1,6,22,24,,
1,2035,16,6,15,18,2,7,,,,,21,5,20,23,1,8,10,18,24,24,15,5,14,17,1,8,,,,
2,2035,16,5,15,18,2,7,,,,,19,5,18,21,1,7,24,24,,,16,5,15,18,1,7,,,,
3,2035,15,4,14,17,1,6,24,24,,,19,4,18,21,1,7,24,24,,,12,4,11,14,1,7,23,24,,
4,2035,15,4,14,17,1,6,23,24,,,19,4,18,21,1,8,13,16,22,24,12,3,11,14,1,7,22,24,,
5,2035,15,3,14,17,1,6,23,24,,,19,4,18,21,1,7,24,24,,,12,3,11,14,1,6,23,24,,
6,2035,17,5,16,19,1,8,,,,,20,5,19,22,1,9,13,18,23,24,15,5,14,17,1,8,24,24,,
7,2035,18,5,17,20,1,7,,,,,18,5,17,20,1,7,24,24,,,18,5,17,20,1,7,24,24,,
8,2035,15,5,14,17,1,7,,,,,18,5,17,20,1,8,,,,,14,5,13,16,1,7,,,,
9,2035,14,5,13,16,1,7,,,,,18,5,17,20,1,7,24,24,,,13,5,12,15,1,7,24,24,,
10,2035,16,5,15,18,1,7,,,,,18,5,17,20,1,7,24,24,,,12,5,11,14,1,7,24,24,,
11,2035,16,4,15,18,1,7,24,24,,,19,5,18,21,1,7,23,24,,,13,4,12,15,1,7,23,24,,
12,2035,16,5,15,18,2,7,,,,,20,5,19,22,1,8,,,,,14,5,13,16,1,8,,,,
13,2035,16,5,15,18,1,7,,,,,19,3,18,21,1,6,14,16,23,24,18,5,17,20,1,7,24,24,,
14,2035,16,5,15,18,1,7,,,,,20,4,19,22,1,7,11,17,22,24,18,4,17,20,1,7,23,24,,
15,2035,15,4,14,17,1,7,24,24,,,19,3,18,21,1,17,22,24,,,15,3,14,17,1,8,22,24,,
16,2035,16,4,15,18,1,7,24,24,,,20,4,19,22,1,17,22,24,,,14,4,13,16,1,8,23,24,,
17,2035,17,5,16,19,1,7,,,,,20,5,19,22,1,8,12,18,22,24,15,5,14,17,1,8,23,24,,
18,2035,16,4,15,18,1,6,,,,,19,4,18,21,1,6,23,24,,,14,4,13,16,1,7,23,24,,
19,2035,17,5,16,19,1,7,,,,,19,4,18,21,1,7,23,24,,,12,4,11,14,1,7,24,24,,
20,2035,16,5,15,18,1,7,,,,,20,5,19,22,1,19,21,24,,,16,5,15,18,1,9,23,24,,
21,2035,16,4,15,18,1,6,24,24,,,19,5,18,21,1,8,24,24,,,13,4,12,15,1,8,23,24,,
22,2035,16,4,15,18,1,6,24,24,,,18,5,17,20,1,8,24,24,,,14,4,13,16,1,8,23,24,,
23,2035,16,4,15,18,1,6,23,24,,,18,3,17,20,1,6,23,24,,,18,3,17,20,1,6,22,24,,
24,2035,17,4,16,19,1,7,24,24,,,19,4,18,21,1,7,23,24,,,18,3,17,20,1,7,23,24,,
25,2035,16,4,15,18,1,6,24,24,,,19,3,18,21,1,7,13,16,22,24,18,3,17,20,1,7,22,24,,
1,2040,16,6,15,18,2,7,,,,,21,5,20,23,1,8,10,18,,,15,5,14,17,1,8,,,,
2,2040,16,5,15,18,2,7,,,,,19,5,18,21,1,7,24,24,,,16,5,15,18,1,7,,,,
3,2040,15,5,14,17,1,6,24,24,,,19,5,18,21,1,7,24,24,,,12,4,11,14,1,7,23,24,,
4,2040,15,4,14,17,1,6,23,24,,,19,4,18,21,1,8,13,16,22,24,12,3,11,14,1,8,22,24,,
5,2040,15,4,14,17,1,6,23,24,,,19,5,18,21,1,7,23,24,,,12,4,11,14,1,7,22,24,,
6,2040,17,5,16,19,1,8,,,,,20,5,19,22,1,9,13,17,23,24,18,5,17,20,1,8,24,24,,
7,2040,18,5,17,20,1,7,,,,,18,5,17,20,1,7,24,24,,,18,5,17,20,1,7,24,24,,
8,2040,15,5,14,17,1,7,,,,,18,5,17,20,1,8,,,,,13,5,12,15,1,7,,,,
9,2040,15,5,14,17,1,7,,,,,18,5,17,20,1,7,24,24,,,12,5,11,14,1,7,24,24,,
10,2040,16,5,15,18,1,7,,,,,18,5,17,20,1,7,24,24,,,14,5,13,16,1,7,24,24,,
11,2040,16,5,15,18,1,7,,,,,19,5,18,21,1,8,23,24,,,13,5,12,15,1,8,23,24,,
12,2040,16,5,15,18,2,7,,,,,19,6,18,21,2,8,,,,,15,5,14,17,1,8,,,,
13,2040,16,5,15,18,1,7,,,,,19,4,18,21,1,7,14,16,23,24,18,5,17,20,1,7,24,24,,
14,2040,16,5,15,18,1,7,,,,,20,5,19,22,1,7,11,17,22,24,18,5,17,20,1,8,23,24,,
15,2040,16,4,15,18,1,7,24,24,,,19,3,18,21,1,17,22,24,,,18,3,17,20,1,8,22,24,,
16,2040,16,5,15,18,1,7,24,24,,,19,4,18,21,1,17,22,24,,,18,4,17,20,1,8,22,24,,
17,2040,17,5,16,19,1,7,,,,,20,5,19,22,1,8,13,18,22,24,15,5,14,17,1,8,23,24,,
18,2040,16,4,15,18,1,7,,,,,19,4,18,21,1,7,23,24,,,14,4,13,16,1,7,23,24,,
19,2040,17,5,16,19,1,7,,,,,19,5,18,21,1,7,23,24,,,12,5,11,14,1,7,23,24,,
20,2040,16,5,15,18,1,7,,,,,20,5,19,22,1,24,,,,,16,5,15,18,1,9,23,24,,
21,2040,16,4,15,18,1,7,24,24,,,19,5,18,21,1,8,24,24,,,13,5,12,15,1,8,23,24,,
22,2040,16,4,15,18,1,7,24,24,,,18,5,17,20,1,8,24,24,,,14,5,13,16,1,8,23,24,,
23,2040,16,4,15,18,1,6,23,24,,,18,4,17,20,1,6,23,24,,,18,3,17,20,1,6,22,24,,
24,2040,17,5,16,19,1,7,24,24,,,19,5,18,21,1,8,23,24,,,18,4,17,20,1,8,23,24,,
25,2040,16,4,15,18,1,6,23,24,,,18,4,17,20,1,7,12,16,22,24,18,3,17,20,1,7,21,24,,
1,2045,17,6,16,19,3,7,,,,,21,5,20,23,1,8,10,18,,,15,6,14,17,1,8,,,,
2,2045,16,5,15,18,2,8,,,,,19,5,18,21,1,7,24,24,,,16,5,15,18,1,8,,,,
3,2045,15,5,14,17,1,6,,,,,18,5,17,20,1,7,24,24,,,12,5,11,14,1,7,23,24,,
4,2045,15,4,14,17,1,7,23,24,,,19,5,18,21,1,8,15,16,22,24,12,4,11,14,1,8,21,24,,
5,2045,15,4,14,17,1,6,23,24,,,19,5,18,21,1,7,23,24,,,12,4,11,14,1,7,22,24,,
6,2045,17,5,16,19,1,8,,,,,20,5,19,22,1,9,14,17,23,24,18,5,17,20,1,8,24,24,,
7,2045,18,5,17,20,1,7,,,,,18,5,17,20,1,7,24,24,,,18,5,17,20,1,7,24,24,,
8,2045,15,5,14,17,1,7,,,,,18,5,17,20,1,8,,,,,14,5,13,16,1,7,,,,
9,2045,15,5,14,17,1,7,,,,,18,5,17,20,1,7,24,24,,,12,5,11,14,1,7,24,24,,
10,2045,16,5,15,18,2,7,,,,,18,5,17,20,1,7,23,24,,,14,5,13,16,1,7,24,24,,
11,2045,16,5,15,18,1,7,,,,,19,5,18,21,1,8,23,24,,,13,5,12,15,1,8,22,24,,
12,2045,16,5,15,18,3,7,,,,,19,6,18,21,2,8,,,,,14,6,13,16,1,8,,,,
13,2045,16,5,15,18,2,7,,,,,19,5,18,21,1,7,15,16,23,24,18,5,17,20,1,7,24,24,,
14,2045,16,5,15,18,1,7,,,,,19,5,18,21,1,7,11,17,22,24,18,5,17,20,1,8,23,24,,
15,2045,16,4,15,18,1,7,24,24,,,19,4,18,21,1,17,22,24,,,18,4,17,20,1,8,22,24,,
16,2045,16,5,15,18,1,7,,,,,19,5,18,21,1,8,10,17,22,24,18,4,17,20,1,8,22,24,,
17,2045,17,5,16,19,1,7,,,,,20,5,19,22,1,8,13,17,22,24,18,5,17,20,1,8,23,24,,
18,2045,16,4,15,18,1,7,,,,,19,4,18,21,1,7,23,24,,,14,4,13,16,1,7,23,24,,
19,2045,17,5,16,19,1,7,,,,,19,5,18,21,1,7,23,24,,,12,5,11,14,1,7,23,24,,
20,2045,16,5,15,18,2,8,,,,,20,5,19,22,1,24,,,,,16,5,15,18,1,9,22,24,,
21,2045,16,4,15,18,1,7,24,24,,,18,5,17,20,1,8,24,24,,,14,5,13,16,1,8,23,24,,
22,2045,16,5,15,18,1,7,24,24,,,18,5,17,20,1,8,24,24,,,14,5,13,16,1,8,23,24,,
23,2045,16,4,15,18,1,7,23,24,,,18,5,17,20,1,7,23,24,,,18,4,17,20,1,7,22,24,,
24,2045,17,5,16,19,1,7,24,24,,,19,5,18,21,1,8,23,24,,,18,5,17,20,1,8,23,24,,
25,2045,16,5,15,18,1,7,23,24,,,18,5,17,20,1,8,10,17,21,24,18,4,17,20,1,8,20,24,,
1,2050,17,6,16,19,3,7,,,,,21,5,20,23,1,8,10,12,15,17,15,6,14,17,1,8,,,,
2,2050,16,5,15,18,2,8,,,,,19,5,18,21,1,7,24,24,,,16,5,15,18,2,8,,,,
3,2050,15,5,14,17,1,7,,,,,18,5,17,20,1,7,24,24,,,12,5,11,14,1,7,23,24,,
4,2050,15,5,14,17,1,7,23,24,,,18,5,17,20,1,8,15,16,22,24,12,4,11,14,1,8,21,24,,
5,2050,16,4,15,18,1,6,23,24,,,18,5,17,20,1,7,23,24,,,12,4,11,14,1,7,22,24,,
6,2050,17,5,16,19,1,8,,,,,20,5,19,22,1,8,15,17,23,24,18,5,17,20,1,8,24,24,,
7,2050,18,5,17,20,1,7,,,,,18,5,17,20,1,7,24,24,,,18,5,17,20,1,7,24,24,,
8,2050,15,5,14,17,2,7,,,,,18,5,17,20,2,8,,,,,14,6,13,16,1,8,,,,
9,2050,15,5,14,17,1,7,,,,,18,5,17,20,1,7,24,24,,,12,5,11,14,1,7,24,24,,
10,2050,16,5,15,18,2,7,,,,,18,5,17,20,1,7,23,24,,,14,5,13,16,1,7,24,24,,
11,2050,16,5,15,18,1,7,,,,,19,5,18,21,1,8,22,24,,,13,5,12,15,1,8,22,24,,
12,2050,16,5,15,18,3,7,,,,,19,6,18,21,2,8,,,,,14,6,13,16,1,8,,,,
13,2050,16,5,15,18,2,7,,,,,19,5,18,21,1,7,15,16,23,24,18,5,17,20,1,7,24,24,,
14,2050,16,5,15,18,1,7,,,,,19,5,18,21,1,8,12,17,22,24,18,5,17,20,1,8,23,24,,
15,2050,16,5,15,18,1,7,24,24,,,19,4,18,21,1,17,21,24,,,18,4,17,20,1,8,22,24,,
16,2050,16,5,15,18,1,7,,,,,18,5,17,20,1,8,13,17,22,24,18,5,17,20,1,8,22,24,,
17,2050,17,5,16,19,1,7,,,,,20,5,19,22,1,8,14,17,22,24,18,5,17,20,1,8,23,24,,
18,2050,16,5,15,18,1,7,,,,,19,5,18,21,1,7,23,24,,,14,4,13,16,1,7,23,24,,
19,2050,17,5,16,19,1,7,,,,,19,5,18,21,1,7,23,24,,,18,5,17,20,1,7,24,24,,
20,2050,17,5,16,19,2,8,,,,,20,5,19,22,1,24,,,,,16,5,15,18,1,9,22,24,,
21,2050,16,5,15,18,1,7,24,24,,,18,5,17,20,1,8,24,24,,,14,5,13,16,1,8,22,24,,
22,2050,16,5,15,18,1,7,24,24,,,18,5,17,20,1,8,24,24,,,14,5,13,16,1,8,22,24,,
23,2050,16,5,15,18,1,7,23,24,,,18,5,17,20,1,7,22,24,,,18,4,17,20,1,7,21,24,,
24,2050,17,5,16,19,1,8,24,24,,,19,5,18,21,1,8,23,24,,,18,5,17,20,1,8,22,24,,
25,2050,16,5,15,18,1,7,24,24,,,18,5,17,20,1,8,10,17,21,24,18,4,17,20,1,9,20,24,,
